名称,品质,商城价格,商城价格2,具体描述,物品类型
“黑羊”,,60回声,,如果所有人都是伪善的小偷，那么我就去当那个诚实的“恶人”。,商城限时时装
“华生小姐”,,2888回声,,或许……只是一种伪装？,稀世时装
“建筑师”,,2888回声,12888碎片,太阳以西，梦无尽头。,限时时装
“杰克” 祝福,,98回声,,祝福动作，“杰克”专属，最佳演绎动作,个性动作
“金乌”,,1888回声,8388碎片,,稀世随身物品
“剧场主持”,稀世,2888回声,12888碎片,扶正礼帽，拉紧外套，预备好一百句俏皮话和一千个花招。大幕拉开——好戏开场。,稀世品质时装
“绝缘使者”L,独特,318回声,1188碎片,暗流中的使者将所有人召集、连结，又将他们再次击碎，成为难以拼合的“绝缘体”。,独特品质时装
“盲区”,,1388回声,,恶行发生的角落，被迫成为所谓的“视线盲区”。,奇珍时装
“密约”,,1068回声,3888碎片,它的本质是一份借口，一句谎言，用以掩盖无法见光的真正交易与目的。,奇珍随身物品
“逆位”,,60回声,,她或许无所不知，但却把真相藏在了命途的倒影之中。,商城限时时装
“貔貅心锁”,奇珍,1068回声,,,奇珍品质随身物品
“切点线”,独特,60回声,,没有人告诉过他，有些人的前进是为了别人的欢呼，而非自己的方向。,独特品质时装
“桑槿”,,1888回声,8388碎片,,稀世随身物品
“试金石”,独特,60回声,,所有的金子在被发现之前，都显得暗淡而廉价。,独特品质时装
“守财奴”,,1388回声,,当命运的绳索重重缠绕，谁会成为我们的阿特洛波斯呢?,奇珍时装
“淑女”,,60回声,,太多次失望，已经让我明白，你的温顺，并不会得到他人“优雅”以待。,独特时装
“天鹅”,,60回声,,她总是按照自己的想法来表演，飞扬的裙摆上只盛得下称赞。,商城限时时装
“铁砧”,独特,60回声,,他的眼中没有顽铁，只有尚未被理解的形状。,独特品质时装
“万向轴”,独特,60回声,,一切自由的转向，从不曾脱离精确的约束与不可动摇的秩序。,独特品质时装
“晚钟”,独特,60回声,,不是警示，也不是悼念，只是夜色深处，一句温柔的告别。,独特品质时装
“王女”,,60回声,,在这里，人们不屈从于秩序，而服从于野心。,商城限时时装
“未知射线”X,,1388回声,,发明者忍痛掩藏着被光线腐蚀的左臂，却难以逃脱聚光灯下反叛的罪名。,奇珍时装
“匣中愿景”,独特,258回声,,花卉，大脑，美妙的化学反应。（机械师专属[限定]随身物品，周边礼包获得）,独特品质随身物品
“星辰”,稀世,1888回声,8388碎片,香水的最高杰作，如星辰般永恒闪耀。,稀世品质随身物品
“星空”,独特,158回声,968碎片,艺术有时只是通过了一双与众不同的眼睛发现了一件普通事物的另一种表达。,独特品质随身物品
“野孩子”,独特,60回声,,那些有形的高墙，无形的壁垒都无法阻止他对于心中旷野的向往，即便他从未到达。,独特品质时装
“引梦人”,奇珍,1388回声,,她曾为迷途之人引梦，点亮归途。如今却使一切欲望沉入深水，永眠于此。（[限定]时装，周边礼包获得）,奇珍品质时装
“羽毛扇”,独特,60回声,,所有的赞美，都该学会伴随她手中羽扇的律动起舞。,独特品质时装
“渊”,稀世,2888回声,12888碎片,极善与极恶，往往一念之间，倘若你睁开双眼看见的是“我”，那么欢迎来到极恶的深渊。,稀世品质时装
“重生”的艾玛,,230回声,,烧焦的气息和缝补的痕迹，这个走过坎坷历程的娃娃变得有些不像自己了。,家具
“重生”的羊羔,,1188碎片,318回声,每一次厄运，都可以当作一次成长的试炼，对那些幸存的羔羊而言。,独特时装
ALPHA,,888回声,,WE ARE ZETA DIVISION. Identity Ⅴ Japan League 2022夏季赛冠军ZETA DIVISION随从,奇珍随从
阿斯科特领巾,,258回声,968碎片,我已不再需要这种未进化生物的可笑掩饰了。,独特随身物品
爱哭鬼 回响,,288回声,,回响动作,个性动作
艾琳·艾德勒,,2888回声,,首席女歌手艾琳·艾德勒的服装,稀世时装
爱神之吻,,1388回声,,托于指尖的香吻，犹如丘比特的金箭，弹无虚发。,奇珍时装
艾札克·佛斯特,,2888回声,,艾札克·佛斯特的时装。,稀世时装
案件模拟,奇珍,788回声,2988碎片,为了确保描述的细节正确，有时你不得不亲手实践一下。,奇珍品质随身物品
安可,,318回声,,每当他们呼喊着“安可!安可!”，我多么希望他们是在呼唤我。,独特时装
黯岩护符,奇珍,788回声,2988碎片,黑色的岩石，蕴含着难以言喻的邪恶。,奇珍品质随身物品
暗影娃娃,独特,258回声,968碎片,梦之女巫根据自己的梦境制作的玩偶，让人不寒而栗,独特品质随身物品
敖烈,奇珍,1388回声,,“我是敖烈，西海龙王三太子！”,奇珍品质时装
傲雪梅花,,950回声,,一树寒梅白玉条，迥临村路傍溪桥。不知近水花先发，疑是经冬雪未销。——张谓《早梅》(2023年春节家具),家具
B.Duck,,2888回声,,B.Duck的礼物。,稀世时装
B.Duck潮,,1388回声,,Jack的礼物。,奇珍时装
B.Duck拍照框,,288回声,,B.Duck联动限定家具,独特家具
B.Duck浴缸,,1188回声,,B.Duck联动限定家具,奇珍家具
BETA,,888回声,,WE ARE ZETA DIVISION. Identity Ⅴ Japan League 2022秋季赛冠军ZETA DIVISION随从。,奇珍随从
BLK.ELI,,1388回声,,Game on！We are Team BLK！,奇珍时装
BLK.TRACY,,1388回声,,Game on！We are Team BLK！,奇珍时装
芭风特,,888回声,3188碎片,操纵魔法的羊羊，据说是从裂缝通道中出现的。,奇珍随从
白色沙发,,950回声,,,家具
白兔术士,奇珍,1388回声,,她是“猫咪夫人”最杰出的工匠，潜藏在浓雾中雕琢独属于她的艺术品。而她对“素材”们有着极高的美学标准，那些丑陋的、没礼貌的家伙，只配在齿轮的辗轧声中化为齑粉。,奇珍品质时装
百万人鱼,奇珍,1388回声,4888碎片,失去行走的天赋，便游出灿烂的水波。,奇珍品质时装
白无垢,,12888碎片,2888回声,吾人之身如朝雾，相思苦闷无处谒,稀世时装
白羽,奇珍,788回声,2988碎片,用神奇的白色羽毛制成,奇珍品质随身物品
半精灵骑士,,2888回声,12888碎片,他始终追随着世界之树的指引，无论命运将他引向何方，他都坚定不移地相信，秩序是黑暗中的曙光。,稀世时装
半身像,独特,258回声,968碎片,可惜，这永远无法成为现实。,独特品质随身物品
班苏里笛,奇珍,788回声,2988碎片,带着可以回想起家乡的音乐。,奇珍品质随身物品
邦邦欢唱,,950回声,,可播放各种音乐的点唱机，卡壳时只需在顶端大力猛击。,家具
邦邦疾驰,,2150回声,,出众速度，顶配座椅。两百匹马力，想象力驱动。,家具
豹斑,独特,288回声,1088碎片,医生也有着出挑的衣着品位，前卫的豹斑正是自己不甘现状的映照,独特品质时装
爆燃,奇珍,788回声,2988碎片,微弱的火星照亮了这技术的未来，但照不亮他的过去。,奇珍品质随身物品
报时鸟,稀世,1888回声,8388碎片,报时鸟会梦到天空吗？,稀世品质随身物品
保险柜,,950回声,4188线索,,奇珍家具
宝箱怪,,950回声,,,家具
贝壳地毯,,230回声,,这里面可没有珍珠（2023年“海岛夏日记”活动家具）,家具
贝克街221B,,3288回声,,,户型
贝拉夫人,,2888回声,12888碎片,"For stage lights,For which I'm born to die",稀世时装
被遗忘的乔治,奇珍,1388回声,4888碎片,同样的音符，有的人用它拼凑破碎的人生，有人用它书写惊世的华章。,奇珍品质时装
备用琴弓,独特,258回声,968碎片,有备用品是好事，但备用品也出问题了怎么办呢？,独特品质随身物品
彼岸,,1388回声,,是什么释放了那愤怒的灵魂，是干涸的爱意?还是破碎的容颜?,奇珍时装
彼岸花,独特,258回声,968碎片,花开无叶，叶生无花，花叶永不相见。  情不为因果，缘注定生死，一生彼岸，一盏忘川。,独特品质随身物品
壁画修复员,,1388回声,,天真如他，一直以为壁画内记录的是神明的故事，从未设想那不过是恶者的“墓志铭”。,奇珍时装
笔尖柔情,,1068回声,3888碎片,无法相见的恋人，通过这只笔连接在一起，最终成为了爱的象征。,奇珍随身物品
笔墨藏锋,,1068回声,3888碎片,笔书锦绣，墨蕴乾坤。,奇珍随身物品
鼻烟壶,独特,258回声,968碎片,这里面装着一种奇怪的孢子，能让你保持清醒,独特品质随身物品
毕业日,,1388回声,,或许，只有当脱下那身学袍之时，他才会发现，奔向真理的道路，并不是永远都是风雨满途。,奇珍时装
变彩,稀世,2888回声,12888碎片,变幻的色彩是一种恰当的伪装，但宝石的本质从不因观察的角度而改变。,稀世品质时装
变脸王,稀世,2888回声,12888碎片,戏曲辞旧岁，粉墨绘新禧。变脸变的是心情，更是生活的剪影。,稀世品质时装
便携火柴,,258回声,968碎片,不必担心巡夜时被风吹灭提灯了。,独特随身物品
缤纷姜饼拱门,,950回声,,,奇珍家具
宾虚,,1388回声,4888碎片,仇恨使你活着，爱使你自由。,奇珍时装
冰冻之心,,1388回声,8388碎片,瓦尔莱塔的悲惨经历早已让她的心寒冷如冰。,稀世随身物品
病服,独特,288回声,1088碎片,病痛与残障不是劣势，而是一种磨练,独特品质时装
冰晶,奇珍,788回声,2988碎片,来自雪国工匠师的作品，每时每刻都散发着浓烈的寒意。,奇珍品质随身物品
冰月挂饰,,230回声,,,独特家具
冰中蝶,,1388回声,,我喜欢被雪花包裹的感觉，纯洁，温暖，如同在茧房中安眠。可无视一切嘈杂与大厦倾塌时的震荡。,奇珍时装
博古架,,950回声,,古董上的斑点痕迹，诉说着它的过往。（2024年春节家具）,奇珍家具
不给糖就捣蛋,,950回声,4188线索,抽中大奖糖果的概率可是足足有五分之一呢！（2023年万圣节家具）,家具
不会枯萎的花,,2888回声,12888碎片,花朵向来娇嫩易逝，她只相信那些坚硬而闪光的——那才是永不颓败的梦与浪漫。,稀世时装
不羁的浪漫,,1388回声,,弓弦上跃动的不仅仅只有琴音，还有雀跃的灵魂与狂热的执迷。,奇珍时装
布朗熊,,1388回声,,布朗熊的礼物。,奇珍时装
不灭之火,稀世,1888回声,8388碎片,传说地狱中遍布着岩浆，身处其中的灵魂承受着永恒的折磨……听起来和现实也没有什么区别。,稀世品质随身物品
不速之客,,1388回声,4888碎片,来自古堡的客人，在他来之前，这里从未下过雪。,奇珍时装
补天裂,奇珍,1108回声,,苍天补，四极正；背方州，抱圆天。,奇珍品质时装
捕蝇草,独特,258回声,968碎片,在植物收藏方面，卢基诺也有独特的品味。,独特品质随身物品
捕蝇笼,独特,258回声,968碎片,出路就在眼前，但它们却视而不见。,独特品质随身物品
Buffy,,1388回声,,Buffy的礼物。,奇珍时装
彩绘琉璃,,230回声,1088线索,彩绘维系着虚无缥缈的美好，直到玻璃破碎，真实便从裂缝中流出。（2024年“逐浪！夏日运动会”活动系列家具）,家具
彩绘泥罐,独特,258回声,968碎片,手工制作的泥罐，绘制着远航者凝固在陶土中的归乡之梦。,独特品质随身物品
残花泪,奇珍,1388回声,4888碎片,今夜月明人未至，东风吹影入帘来。,奇珍品质时装
残局的王将,稀世,1888回声,8388碎片,以那未竟的一步走向君临,稀世品质随身物品
残缺锡兵,,258回声,968碎片,因为残缺而无法出售的次品，不过玩具商本人倒是很喜欢。,独特随身物品
粲然的北辰,稀世,2888回声,12888碎片,启明之途，伴汝同行。,稀世品质时装
蚕食者,,1388回声,,他们吹嘘我被他们从奴隶主的屠宰场中救下，这为什么要我感恩戴德，明明主人们为光辉所庇佑，蚀日的军团才是恶魔的爪牙。,奇珍时装
残樱,独特,258回声,968碎片,期待随花瓣一同凋落，沤成一片怨毒。,独特品质随身物品
仓鼠轮,独特,258回声,968碎片,踩仓鼠轮是工作吗？我不知道。<br>我只知道它们看上去很快乐。,独特品质随身物品
草编蚱蜢,独特,258回声,968碎片,他用少数野性伙伴不吃的东西在闲余时间做的小玩意。,独特品质随身物品
草莓红,罕见,438碎片,108回声,白芝麻，红心粒，甜香汁~~,罕见品质时装
草药膏,独特,258回声,968碎片,石臼里捣碎的药草叶片，凝作膏体时还带着属于森林的清香。,独特品质随身物品
测量者,,1388回声,,精准的数据，只会导向最“正确”的结果。,奇珍时装
茶话会,稀世,2888回声,12888碎片,乌鸦衔来教堂的玫瑰，南瓜亲吻灯火中的月亮，他邀你共赴无人出席的茶会——偶尔也会偷偷浪漫，忘记世俗的目光。,稀世品质时装
插花酒瓶,独特,258回声,968碎片,是谁做的插花?反正不是黛米。,独特品质随身物品
茶话时间,奇珍,1068回声,3888碎片,昼日奔命，你的梦境已经很匆忙，错过了白兔先生，就别再错过茶会和月光。,奇珍品质随身物品
柴郡猫,,2888回声,12888碎片,他总是带着平静、诱人的微笑来掩盖自己真正的个性。,稀世时装
产钳,独特,258回声,968碎片,每一道痕迹都是挣扎与重生的见证。,独特品质随身物品
厂长 望远镜,独特,258回声,968碎片,寻获珍宝之前，船长用它遥望过无数次心之所在方向，却从未向之踏过一步。,独特品质随身物品
超大布朗熊公仔,,1188回声,,Line Friends联动限定家具,奇珍家具
潮汐之歌,,2150回声,,这是一首沉没于海底的静谧诗篇，在摇晃着等候它的主人,稀世家具
超智,,1888回声,,记忆芯片会存储“金色的雨”么？,稀世随身物品
尘封的事务所,,968回声,4988线索,,户型
晨昏之隙,,1388回声,,一念起，踏过晨光，一念落，迈过暮影。他们诞生在晨曦与夜幕间，听风低语，观叶翩跹。,奇珍时装
沉沦的面具,,1068回声,3888碎片,赐予我挚爱之人假面，与他沉入灼热的甜梦与深渊。,奇珍随身物品
沉默宫殿,,3288回声,,,户型
沉睡的月,独特,258回声,968碎片,听说打哈气是会传染的，你瞧，连月亮都抵抗不住那诱人的睡意，沉沉睡去。,独特品质随身物品
成都GG·2022秋,,788回声,,Good Game，Well Play！2022IVL秋季赛冠军成都GG战队随从。,奇珍随从
成都GG·2023夏,,788回声,,Good Game，Well Play！2023IVL夏季赛冠军成都GG战队随从。,奇珍随从
乘龙戏珠,,2150回声,,乘龙驾雾，腾云戏珠。（2024年春节家具）,稀世家具
程小时&陆光,,1388回声,,无论过去，不问将来。,奇珍时装
冲浪板,,230回声,,不去冲浪的时候也可以挂在家里作为装饰品（2023年“海岛夏日记”活动家具）,家具
充气海豚,,1068回声,3888碎片,这份夏日的纪念品属于你：盛放的向日葵、干海星，还有浪花中最迅捷的蓝色掠影。,奇珍随身物品
充气鸭,,950回声,4188线索,,奇珍家具
楚翘,,1188碎片,318回声,纵使偏见如崇山，她也要争做这俗世场中的楚翘。,独特时装
初晴,,2308回声,,欲把西湖比西子，淡妆浓抹总相宜。<br>（第五人格×杭州西湖景区主题时装）,稀世时装
川上富江,,2888回声,12888碎片,盛气凌人的美丽少女，拥有无限增殖的能力与使人发狂的魔性,稀世时装
船型柜,,950回声,,即使惊涛骇浪，也要乘风而行（2023年“海岛夏日记”活动家具）,家具
船影,,1388回声,,他带着摇晃的憧憬，徜徉在起伏的波浪中，却从未察觉深水里的暗流。,奇珍时装
垂泪的神女,稀世,2888回声,12888碎片,泪水之后，我即荣光。,稀世品质时装
春日松果,,258回声,968碎片,哦，差点忘了它。,独特随身物品
春信,奇珍,1388回声,,残雪犹在，新芽却已悄然破土。带着泥土的芬芳与新生的喜悦，初绽的野花被细细编结，为山野间的朋友们捎去第一缕春的讯息。,奇珍品质时装
纯银子弹,奇珍,788回声,2988碎片,最后的这颗子弹，承载了那复仇的怒火，神圣的闪光下，邪恶无所遁形。,奇珍品质随身物品
此刻万籁俱寂,稀世,2888回声,12888碎片,此刻万籁俱寂，风儿平息<br>野兽和鸟儿都沉沉入睡<br>我观望，思索，燃烧，哀泣<br>只有想到她，心里才获得少许慰藉<br>我历经苦难，也无法到达彼岸<br>我日日死亡千万次，也复生千万次<br>但离幸福的彼岸还很漫长,稀世品质时装
璀璨的孤狼,奇珍,1388回声,,聚光灯为过去镀上梦境的辉芒，让贪婪与残忍披上无瑕的伪装。,奇珍品质时装
璀璨的荣耀,稀世,1888回声,,他用野心衡量每份“荣耀”的价码，将答案悬注于落幕之前。,稀世品质随身物品
催眠仪,奇珍,788回声,2988碎片,千万别盯着它看，一旦被催眠，迎接你的将是可怕的噩梦。,奇珍品质随身物品
翠鸟屏风,,950回声,,,家具
翠竹盆栽,,230回声,,翠竹苍苍，挺拔而立(2023年春节家具),家具
存钱罐,独特,258回声,968碎片,从裂隙中漏走的不止钱币，还有曾经幸福的灵魂。,独特品质随身物品
DOU5·2022夏,,888回声,,长风破浪，一往无前！2022IVL夏季赛冠军DOU5战队随从。,奇珍随从
大耳狗机械玩偶,,488回声,,第五人格 × 三丽鸥大明星 联动随从,独特随从
达芬奇,奇珍,1388回声,4888碎片,天才的画笔，除了记录眼下的美丽，还热衷于描摹未来的可能性。,奇珍品质时装
达克斯上校,奇珍,1388回声,4888碎片,光荣背后，荆棘丛生。,奇珍品质时装
大漠弦音,,950回声,,古国的城墙已经坍塌，但改良的乐器得以留存，空灵的弦音匿于蜃影，失落的文明生生不息。,家具
大型展示柜,,950回声,4188线索,,家具
弹弓,,198回声,968碎片,丽莎可喜欢我做给她的小玩具了。,独特随身物品
弹簧手,,1388回声,4888碎片,流浪少年靠着自制的装备在蒸汽之都中单打独斗，梦想着能加入由奇人异士组成的冒险团，一展身手。,时装
弹琴的蛙里奥,,230回声,,Line Friends联动限定家具,独特家具
诞于荒墟,独特,318回声,1188碎片,在那座名为憧憬的废墟之下，她最璀璨的理想从未倾颓。,独特品质时装
当铺老板,稀世,2888回声,12888碎片,大人们总是不惜一切代价与他作交换，但没人知道，从固执的孩子手里讨回东西远远比交换更难。,稀世品质时装
稻草人偶,独特,258回声,968碎片,燃烧过的稻草人偶,独特品质随身物品
捣蛋裘克,奇珍,1388回声,4888碎片,一二三，木头人。不许休息不许逃，一起捣乱一起闹。,奇珍品质时装
倒角,,60回声,,组装复杂的仪器之前，往往需要先平整零件的锐角。,商城限时时装
地层石蛋,奇珍,788回声,2988碎片,在地层深处挖出的一颗烫手石蛋，灼热的气息让人难以靠近。,奇珍品质随身物品
德米特里1号,奇珍,1068回声,3888碎片,一个锈迹斑斑的小机器人，这是希米亚2号为小主人德米特里亲手制作的礼物。,奇珍品质随身物品
地质锤,独特,258回声,968碎片,有时候，工具比人的感官更加可靠。,独特品质随身物品
登峰,,788回声,,以狼之名，许我荣光！第五人格职业联赛2023秋季赛冠军Wolves战队专属随身物品。,奇珍随身物品
灯龙影,,1888回声,8388碎片,灯影摇曳映龙舞，烛火通明照坦途。,稀世随身物品
第五枚爱箭,独特,258回声,968碎片,爱是最自私的开端，引发所有浪荡流连的余生。,独特品质随身物品
缔造者,,2888回声,12888碎片,当你的梦想与他人的不一样的时候，你就一定会孤独。而我的梦想，是那个美丽的新世界。,稀世时装
电掣,奇珍,788回声,2988碎片,闪电也追不上我！,奇珍品质随身物品
电光火石,,788回声,,WE ARE ZETA DIVISION. Identity Ⅴ Japan League 2023秋季赛冠军ZETA DIVISION战队专属随身物品。,奇珍随身物品
淀积的辉光,,788回声,,Good Game，Well Play！第五人格职业联赛2024夏季赛冠军成都GG战队专属随身物品。,奇珍随身物品
点亮星星的女孩,,838回声,,关爱视障儿童，点亮每个孩子的“心光”。,奇珍时装
电阻表,奇珍,788回声,2988碎片,根据欧姆定律制作的设备,奇珍品质随身物品
调香师 祝福,,98回声,,祝福动作，调香师专属，最佳演绎动作,个性动作
调音叉,独特,258回声,968碎片,声音的本源即是震动，音乐盒少不了调音叉的辅助,独特品质随身物品
调制架,稀世,1888回声,8388碎片,唉，味道还是不对。,稀世品质随身物品
蝶醉,奇珍,788回声,2988碎片,酒香中，蝴蝶迷醉而舞，流连忘返。,奇珍品质随身物品
冬,奇珍,1388回声,,冬的服装。,奇珍品质时装
冬蝉,,1388回声,,为执着的真理高歌，还是在权威下保持谦卑无声？若这孱弱的膜翅不足以驱散风雪，那便让我成为燃料，融化坚冰。,奇珍时装
东风遥,,2888回声,12888碎片,今日怜歧路，归来未拂衣,稀世时装
动力芯,,1388回声,,源源不断的燃料供养起永不停歇的机芯，每一条指令都化作流水线中的轰鸣，淹没所有杂音。,奇珍时装
冬日鱼居,,950回声,4188线索,,家具
冬日之窗,,950回声,4188线索,,家具
斗牛布,奇珍,788回声,2988碎片,没有人能戏弄这股蛮横的冲劲！,奇珍品质随身物品
斗牛士之吻,,1388回声,,红色是匹夫之勇最绮丽的装裱，不管它来自柔软的红唇，还是尖锐的牛角。,奇珍时装
毒蛇手杖,,3888碎片,1068回声,即使拿起了最令人恐惧的手杖，她举手投足间，仍然带着昔日的优雅与高贵。,奇珍随身物品
独特品质 虎尾,独特,258回声,,中岛敦-白虎的尾巴。,独特品质随身物品
独特品质 Vote盒子,独特,258回声,968碎片,准备好接受你的命运了么？,独特品质随身物品
独行者,奇珍,1388回声,4888碎片,黑暗中的生存法则——忍受这世间最不堪忍受的寂寞。,奇珍品质时装
毒液笔,奇珍,788回声,2988碎片,读吧，读吧，读的越多，陷得越深。,奇珍品质随身物品
断齿木梳,独特,258回声,968碎片,碧琼梳拥青螺髻。,独特品质随身物品
对决,稀世,1888回声,8388碎片,还好我技高一筹。,稀世品质随身物品
对香气很敏感的针猫,,950回声,,一幅猫咪的画……好像并不是普通猫……（2025年Ib联动限定获得）,奇珍家具
多加雷萨,,1388回声,,她曾是我最迷人的花朵，危险如野心，炽热如火焰。,奇珍时装
多色印刷,,1388回声,,这些醒目的颜色，既可勾勒成令人赞叹的高贵艺术，也能书写出对黑暗中罪恶的最后通牒。,奇珍时装
恶之花,,1388回声,,皮克曼曾相信人体是最美的艺术，但她相信这份美丽终会凋零。直到异界的腐朽在她身上开出恶的花瓣，她才明白自己最中意的诗集早已绽放，而自己将成为它永恒的代言人。,奇珍时装
法槌,,258回声,968碎片,你是不是以为可以决定我的命运?你错了。,独特随身物品
法典,奇珍,788回声,2988碎片,即使你心有疑虑，你也必须遵守法律。,奇珍品质随身物品
发条蝴蝶,稀世,1888回声,8388碎片,再拧半圈……飞咯！,稀世品质随身物品
发条鸟,独特,258回声,968碎片,机械的翅膀中浇筑着人类对天空的渴望。,独特品质随身物品
发型师,,318回声,,发型师掌握着大都会最大的秘密，也见证了这个秘密曝光后，所有色彩褪去的黑暗寂静。,独特时装
帆船长椅,,950回声,4188线索,,奇珍家具
繁花卜梦,,2888回声,12888碎片,,稀世时装
返生者,独特,318回声,1188碎片,“我们在遗迹的入口遇见了他，他半死不活地靠在半截石柱上，看着日出的方向，当我们问他为何来此时，他指了指我们，又指了指太阳，发出一个奇怪的音节，后来我想那有点类似科普特语里“家”的发音。”,独特品质时装
繁星地毯,,2150回声,11688线索,踩在上面，似乎能感受到星辰的温柔，体验到银河的浪漫。,稀世家具
飞镖柜,,950回声,4188线索,不来一发飞镖吗？（2023年“齐奈达堡的断章”活动家具）,家具
菲丽丝,奇珍,1388回声,4888碎片,当那场既定的意外发生在火车上，签署的保单即可生效，更重要的是……符合“双重赔偿”条款。,奇珍品质时装
飞毛腿雪人,,230回声,1088线索,模仿邮差的雪人，但送信犬去哪里了？（2023年圣诞节家具）,家具
菲尼克斯,,2888回声,12888碎片,于黑白刀尖权衡取舍的独行者，无人与他共悲喜。,稀世时装
飞行可妮兔,,230回声,,Line Friends联动限定家具,独特家具
焚火,,1068回声,3888碎片,焚火的烟花照亮了一个佳节的伊始。,奇珍随身物品
焚烬,,1068回声,3888碎片,高温炼制的严酷狱卒。,奇珍随身物品
愤怒河豚,奇珍,788回声,2988碎片,食物，还是毒物，这是一个问题。,奇珍品质随身物品
焚樱,,3888碎片,1068回声,吹雪樱散华，往去诉吾恨。游园赏樱所作发饰。,奇珍随身物品
风暴诞生,独特,318回声,1188碎片,反抗者必须与风暴同行，即便他们知道风暴不一定会带来晴朗。,独特品质时装
封闭木窗,,230回声,,,独特家具
封情,独特,258回声,968碎片,斯人已逝，丹青留影,独特品质随身物品
丰收晚宴,,2150回声,11688线索,一起加入宴会，坐下来慢慢享受“松鼠大厨”制作的菜肴吧！（2024年“田园秋收节”活动系列家具）,稀世家具
丰悦,,1388回声,,饱食的欢悦或许是转瞬即逝的幻觉，但饥饿的痛苦却是永生难忘的刻印。,奇珍时装
福尔摩斯冒险史,,1068回声,,最伟大侦探的伟大冒险,奇珍随身物品
弗雷齐,,888回声,3188碎片,狼的基本处事准则之一：忠贞不渝。,奇珍随从
父亲的怀表,稀世,1888回声,8388碎片,父亲所留下的遗物，永远停摆在那次意外爆炸的瞬间。,稀世品质随身物品
浮士德,,1388回声,4888碎片,万象皆俄顷，无非是映影。,奇珍时装
赋闲的水塘,,2150回声,11688线索,你在这里享受寂静，短暂的远离沉甸甸的舵手责任、冠军头衔。你在这里咀嚼孤独，重新回想起那次出海、如今同伴已不再。（2024年“逐浪！夏日运动会”活动系列家具）,稀世家具
缚翼,稀世,1888回声,8388碎片,在精心规划的轨迹之内，飞翔的自由不过是一种错觉。,稀世品质随身物品
盖提亚之遗,稀世,2888回声,12888碎片,人们都为这个勤勉而诚恳的年轻人感到庆幸，庆幸他虽遭难，却也因此获得重新开始的机会……没什么能够阻碍他步入光明前程，除了那个难以言明的秘密。,稀世品质时装
干板暗盒,独特,258回声,968碎片,这份永恒的记录将在黑暗中被仔细珍藏。,独特品质随身物品
乾坤袋,,1068回声,3888碎片,袋中有乾坤，收容了万物，也收纳着美好的祝福。,稀世随身物品
歌剧演员 花束,,98回声,,花束动作，歌剧演员专属,独特个性动作
哥特,独特,288回声,1088碎片,哥特风的俏皮小吊带，就是为了万圣节化妆舞会而准备的,独特品质时装
更纱,,1388回声,,曾经，她以为，那个人就像那些被琉璃折射的霁色烟波一般，只是一场目眩神迷的幻梦,奇珍时装
共潮生,,1068回声,3888碎片,潮廻不通，请自往还。,奇珍随身物品
共感,,1888回声,,是否只有触碰到胜利的边际，才能感知到梦想的重量？,稀世随身物品
工具袋,独特,258回声,968碎片,工具袋装的不是工具，而是问题的解法。,独特品质随身物品
工藤新一,,2388回声,,工藤新一的服装。,稀世时装
